devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retrans_ratio
1.0,1.0,87.0,86.0,88.0,12.0,98.0,12.0,42.484848484848484,0.16582664764621968,8.4648,7.50448,0.12244897959183673,3.0,9.0,40.0,23.0,0.5772676923076923
1.0,1.0,93.0,93.0,94.0,5.0,100.0,7.0,39.62376237623762,0.19227250374812593,8.6392,8.02768,0.07,2.0,10.0,40.0,23.0,1.00346
0.0,0.0,94.0,94.0,94.0,7.0,101.0,7.0,40.633663366336634,0.18950986354775826,8.8072,8.1968,0.06930693069306931,2.0,10.0,40.0,23.0,1.0246
0.0,0.0,94.0,95.0,94.0,9.0,105.0,11.0,41.714285714285715,0.18656438356164382,9.156,8.1968,0.10476190476190476,2.0,10.0,40.0,23.0,0.6830666666666666
1.0,1.0,94.0,94.0,95.0,11.0,107.0,12.0,40.388888888888886,0.19065837689133425,9.2496,8.11488,0.11214953271028037,2.0,10.0,40.0,23.0,0.6242215384615384
1.0,1.0,103.0,103.0,104.0,2.0,111.0,8.0,36.910714285714285,0.22859920657958394,9.5984,8.89968,0.07207207207207207,2.0,10.0,40.0,23.0,0.9888533333333334
1.0,1.0,108.0,108.0,109.0,5.0,117.0,9.0,36.20338983050848,0.2443793258426966,10.1216,9.33568,0.07692307692307693,2.0,10.0,40.0,23.0,0.933568
0.0,0.0,107.0,107.0,107.0,6.0,113.0,6.0,37.35398230088496,0.2346587822790808,9.8536,9.3304,0.05309734513274336,2.0,10.0,40.0,23.0,1.3329142857142855
0.0,0.0,107.0,106.0,107.0,9.0,115.0,9.0,38.582608695652176,0.22506306062654943,10.028,9.3304,0.0782608695652174,2.0,10.0,40.0,23.0,0.9330399999999999
1.0,1.0,110.0,110.0,111.0,7.0,120.0,10.0,38.00826446280992,0.23708527940856705,10.3832,9.51008,0.08333333333333333,3.0,9.0,40.0,23.0,0.8645527272727273
