devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retransmissions
0.0,0.0,36.0,54.0,40.0,4.0,162.0,110.0,8.074074074074074,0.5478869724770642,13.96256,3.488,0.6790123456790124,2.0,10.0,70.0,13.0,0.03142342342342342
0.0,0.0,36.0,55.0,36.0,7.0,145.0,99.0,8.26923076923077,0.5448632558139535,12.68688,3.1392,0.6827586206896552,5.0,7.0,70.0,13.0,0.031392
0.0,0.0,40.0,55.0,43.0,11.0,153.0,102.0,9.531645569620252,0.4726990703851262,13.35424,3.488,0.6666666666666666,5.0,7.0,70.0,13.0,0.03386407766990291
1.0,1.0,45.0,39.0,69.0,2.0,59.0,14.0,9.925531914893616,0.3218850160771704,4.74256,3.84208,0.23728813559322035,4.0,8.0,70.0,13.0,0.2561386666666667
4.0,4.0,60.0,49.0,79.0,2.0,76.0,18.0,11.03883495145631,0.36363257695690415,6.20176,4.90432,0.23684210526315788,3.0,9.0,70.0,13.0,0.25812210526315793
0.0,0.0,37.0,50.0,48.0,15.0,140.0,92.0,10.470967741935484,0.39117683302526185,12.25584,4.0984,0.6571428571428571,3.0,9.0,70.0,13.0,0.04406881720430107
0.0,0.0,32.0,50.0,41.0,4.0,137.0,92.0,8.680851063829786,0.4718431372549019,11.79408,3.49328,0.6715328467153284,3.0,9.0,70.0,13.0,0.037562150537634405
0.0,0.0,47.0,46.0,52.0,7.0,126.0,73.0,8.977099236641221,0.41977034013605447,10.99984,4.2728,0.5793650793650794,4.0,8.0,70.0,13.0,0.05774054054054054
0.0,0.0,57.0,51.0,62.0,4.0,114.0,55.0,10.102564102564102,0.41355045685279185,9.78416,5.1448,0.4824561403508772,4.0,8.0,70.0,13.0,0.09187142857142858
1.0,1.0,54.0,54.0,55.0,7.0,103.0,48.0,10.961538461538462,0.40356378947368415,8.73696,4.62688,0.46601941747572817,2.0,10.0,70.0,13.0,0.09442612244897959
0.0,0.0,43.0,54.0,45.0,16.0,121.0,71.0,11.677685950413224,0.37881477707006367,10.5512,3.924,0.5867768595041323,5.0,7.0,70.0,13.0,0.0545
0.0,0.0,57.0,53.0,57.0,6.0,89.0,35.0,11.191011235955056,0.3879685140562249,7.7608,4.9704,0.39325842696629215,3.0,9.0,70.0,13.0,0.13806666666666667
0.0,0.0,56.0,55.0,56.0,0.0,64.0,7.0,12.28125,0.3668681933842239,5.5808,4.8832,0.109375,2.0,10.0,70.0,13.0,0.6104
0.0,0.0,49.0,54.0,50.0,15.0,112.0,59.0,11.383928571428571,0.3885899294117647,9.19296,4.36,0.5267857142857143,3.0,9.0,70.0,13.0,0.07266666666666667
0.0,0.0,48.0,55.0,50.0,19.0,137.0,86.0,11.277372262773723,0.3995256957928803,11.9464,4.36,0.6277372262773723,6.0,6.0,70.0,13.0,0.050114942528735634
0.0,0.0,50.0,54.0,50.0,13.0,116.0,64.0,9.775862068965518,0.4525104761904762,9.54176,4.36,0.5517241379310345,3.0,9.0,70.0,13.0,0.06707692307692308
0.0,0.0,56.0,52.0,56.0,8.0,109.0,53.0,10.458715596330276,0.40730049122807016,9.5048,4.8832,0.48623853211009177,2.0,10.0,70.0,13.0,0.09042962962962964
0.0,0.0,48.0,54.0,48.0,8.0,131.0,77.0,8.83969465648855,0.5004335751295336,11.4232,4.1856,0.5877862595419847,3.0,9.0,70.0,13.0,0.05366153846153846
0.0,0.0,35.0,54.0,36.0,12.0,150.0,103.0,8.12,0.5447881773399015,13.08,3.1392,0.6866666666666666,5.0,7.0,70.0,13.0,0.030184615384615386
0.0,0.0,35.0,55.0,35.0,11.0,170.0,122.0,7.9411764705882355,0.5673718518518518,14.824,3.052,0.7176470588235294,4.0,8.0,70.0,13.0,0.0248130081300813
0.0,0.0,39.0,53.0,39.0,7.0,148.0,102.0,8.594594594594595,0.5051733333333334,12.9056,3.4008,0.6891891891891891,5.0,7.0,70.0,13.0,0.03301747572815534
0.0,0.0,44.0,54.0,44.0,11.0,158.0,106.0,9.30379746835443,0.4754703673469388,13.7776,3.8368,0.6708860759493671,5.0,7.0,70.0,13.0,0.03585794392523365
0.0,0.0,56.0,54.0,56.0,11.0,111.0,48.0,10.27027027027027,0.43072673684210533,9.6792,4.8832,0.43243243243243246,4.0,8.0,70.0,13.0,0.09965714285714286
0.0,0.0,55.0,55.0,60.0,9.0,135.0,82.0,10.088888888888889,0.4465903083700441,11.19856,5.232,0.6074074074074074,6.0,6.0,70.0,13.0,0.06303614457831326
0.0,0.0,52.0,51.0,52.0,9.0,132.0,80.0,10.090909090909092,0.41402810810810803,11.5104,4.5344,0.6060606060606061,4.0,8.0,70.0,13.0,0.055980246913580244
0.0,0.0,37.0,56.0,38.0,15.0,158.0,108.0,9.284810126582279,0.49408872528970676,13.69568,3.23168,0.6835443037974683,2.0,10.0,70.0,13.0,0.029648440366972475
0.0,0.0,45.0,54.0,47.0,5.0,152.0,95.0,7.993421052631579,0.5534151111111111,13.2544,4.0984,0.625,2.0,10.0,70.0,13.0,0.04269166666666666
0.0,0.0,36.0,54.0,39.0,5.0,137.0,93.0,8.036496350364963,0.5504488283378747,11.9464,3.4008,0.6788321167883211,6.0,6.0,70.0,13.0,0.03617872340425532
0.0,0.0,46.0,53.0,48.0,3.0,126.0,73.0,8.238095238095237,0.527034450867052,10.9872,4.1856,0.5793650793650794,2.0,10.0,70.0,13.0,0.056562162162162165
0.0,0.0,40.0,55.0,44.0,6.0,164.0,111.0,7.939024390243903,0.5675256528417818,14.3008,3.8368,0.676829268292683,4.0,8.0,70.0,13.0,0.03425714285714286
